year,raceId,circuitId,circuitRef,country,statusId,driverId,driverRef,constructorId,code,constructorRef,grid,final_position,laps,fastest_lap_time,finishing_time_ms,stops_count,total_pit_ms,avg_pit_ms,driver_standing_points,driver_standing_position,constructor_points,constructor_position,quali_position,quali_time,alt,lap_length_km,total_distance_km,is_street,driver_points_last10,constructor_points_last10
2013,880,1,albert_park,Australia,1,1,hamilton,131,HAM,mercedes,3,5,58,89759.0,5448786.0,3.0,65948.0,21982.666666666668,10.0,5,10.0,4,3,88087.0,10.0,5.303,307.574,0,1426.0,1246.0
2013,880,1,albert_park,Australia,10,3,rosberg,131,ROS,mercedes,6,0,26,92259.0,,1.0,22274.0,22274.0,0.0,20,10.0,4,6,88523.0,10.0,5.303,137.878,0,811.0,1120.0
2013,880,1,albert_park,Australia,1,4,alonso,6,ALO,ferrari,5,2,58,89560.0,5415676.0,3.0,65102.0,21700.666666666668,18.0,2,30.0,1,5,88493.0,10.0,5.303,307.574,0,1968.0,3166.0
2013,880,1,albert_park,Australia,1,8,raikkonen,208,RAI,lotus_f1,7,1,58,89274.0,5403225.0,2.0,44890.0,22445.0,25.0,1,26.0,2,7,88738.0,10.0,5.303,307.574,0,1554.0,2593.0
2013,880,1,albert_park,Australia,1,13,massa,6,MAS,ferrari,4,4,58,90239.0,5436802.0,3.0,64774.0,21591.333333333332,12.0,4,30.0,1,4,88490.0,10.0,5.303,307.574,0,708.0,2906.0
2013,880,1,albert_park,Australia,1,16,sutil,10,SUT,force_india,12,7,58,90710.0,5468293.0,2.0,45442.0,22721.0,6.0,7,10.0,5,12,,10.0,5.303,307.574,0,262.0,891.0
2013,880,1,albert_park,Australia,1,17,webber,9,WEB,red_bull,2,6,58,89732.0,5450025.0,3.0,67472.0,22490.666666666668,8.0,6,23.0,3,2,87827.0,10.0,5.303,307.574,0,1370.0,3848.0
2013,880,1,albert_park,Australia,1,18,button,1,BUT,mclaren,10,9,58,90198.0,5484855.0,3.0,67391.0,22463.666666666668,2.0,9,2.0,6,10,90357.0,10.0,5.303,307.574,0,1230.0,2996.0
2013,880,1,albert_park,Australia,1,20,vettel,9,VET,red_bull,1,3,58,90409.0,5425571.0,3.0,66107.0,22035.666666666668,15.0,3,23.0,3,1,87407.0,10.0,5.303,307.574,0,1914.0,3504.0
2013,880,1,albert_park,Australia,1,154,grosjean,208,GRO,lotus_f1,8,10,58,90395.0,5485984.0,3.0,66906.0,22302.0,1.0,10,26.0,2,8,89013.0,10.0,5.303,307.574,0,777.0,2364.0
